,Song Title,Artist,Year,Position
15,I Got You Babe,Sonny and Cher,1965,16
16,This Diamond Ring,Gary Lewis and The Playboys,1965,17
17,"The ""In"" Crowd",Ramsey Lewis Trio,1965,18
18,Mrs. Brown You've Got A Lovely Daughter,Herman's Hermits,1965,19
19,Stop! In The Name Of Love,Supremes,1965,20
20,Unchained Melody,Righteous Brothers,1965,21
21,Silhouettes,Herman's Hermits,1965,22
22,I'll Never Find Another You,Seekers,1965,23
23,"Cara, Mia",Jay and The Americans,1965,24
24,Mr. Tambourine Man,Byrds,1965,25
25,Cast Your Fate To The Wind,Sounds Orchestral,1965,26
26,"Yes, I'm Ready",Barbara Mason,1965,27
27,What's New Pussycat?,Tom Jones,1965,28
28,Eve Of Destruction,Barry McGuire,1965,29
29,Hang On Sloopy,McCoys,1965,30
30,Ticket To Ride,Beatles,1965,31
31,Red Roses For A Blue Lady,Bert Kaempfert and His Orch.,1965,32
32,Papa's Got A Brand New Bag,James Brown and The Famous Flames,1965,33
33,Game Of Love,Wayne Fontana and The Mindbenders,1965,34
34,The Name Game,Shirley Ellis,1965,35
35,I Know A Place,Petula Clark,1965,36
36,Back In My Arms Again,Supremes,1965,37
37,Baby I'm Yours,Barbara Lewis,1965,38
38,The Jolly Green Giant,Kingsmen,1965,39
39,"Hush, Hush, Sweet Charlotte",Patti Page,1965,40
40,Like A Rolling Stone,Bob Dylan,1965,41
41,I'm Telling You Now,Freddie and The Dreamers,1965,42
42,Ferry Cross The Mersey,Gerry and The Pacemakers,1965,43
43,Just Once In My Life,Righteous Brothers,1965,44
44,Seventh Son,Johnny Rivers,1965,45
45,"I'm Henry VIII, I Am",Herman's Hermits,1965,46
46,A Walk In The Black Forest,Horst Jankowski,1965,47
47,For Your Love,Yardbirds,1965,48
48,California Girls,Beach Boys,1965,49
49,Go Now,Moody Blues,1965,50
50,Goldfinger,Shirley Bassey,1965,51
51,Down In The Boondocks,Billy Joe Royal,1965,52
52,Baby The Rain Must Fall,Glenn Yarbrough,1965,53
53,Catch Us If You Can,Dave Clark Five,1965,54
54,Eight Days A Week,Beatles,1965,55
55,Just A Little,Beau Brummels,1965,56
56,You Turn Me On,Ian Whitcomb,1965,57
57,I'll Be Doggone,Marvin Gaye,1965,58
58,Save Your Heart For Me,Gary Lewis and The Playboys,1965,59
59,Tired Of Waiting For You,Kinks,1965,60
60,Count Me In,Gary Lewis and The Playboys,1965,61
61,All Day And All Of The Night,Kinks,1965,62
62,What The World Needs Now Is Love,Jackie DeShannon,1965,63
63,It's Not Unusual,Tom Jones,1965,64
64,She's About A Mover,Sir Douglas Quintet,1965,65
65,Shake,Sam Cooke,1965,66
66,Wonderful World,Herman's Hermits,1965,67
67,Nowhere To Run,Martha and The Vandellas,1965,68
68,Heart Full Of Soul,Yardbirds,1965,69
69,Love Potion Number Nine,Searchers,1965,70
70,Laurie (Strange Things Happen),Dickle Lee,1965,71
71,Baby Don't Go,Sonny and Cher,1965,72
72,It Ain't Me Babe,Turtles,1965,73
73,Tell Her No,Zombies,1965,74
74,I Go To Pieces,Peter and Gordon,1965,75
75,Red Roses For A Blue Lady,Vic Dana,1965,76
76,Don't Just Stand There,Patty Duke,1965,77
77,The Tracks Of My Tears,Miracles,1965,78
78,Too Many Rivers,Brenda Lee,1965,79
79,I Like It Like That,Dave Clark Five,1965,80
80,Little Things,Bobby Goldsboro,1965,81
81,True Love Ways,Peter and Gordon,1965,82
82,It's The Same Old Song,Four Tops,1965,83
83,You've Got Your Troubles,Fortunes,1965,84
84,Hold What You've Got,Joe Tex,1965,85
85,We Gotta Get Out Of This Place,Animals,1965,86
86,"Laugh, Laugh",Beau Brummels,1965,87
87,The Last Time,Rolling Stones,1965,88
88,Do You Believe In Magic,Lovin' Spoonful,1965,89
89,All I Really Want To Do,Cher,1965,90
90,Take Me Back,Little Anthony and The Imperials,1965,91
91,I Want Candy,Strangeloves,1965,92
92,Ooo Baby Baby,Miracles,1965,93
93,Laugh At Me,Sonny,1965,94
94,Treat Her Right,Roy Head,1965,95
95,The Race Is On,Jack Jones,1965,96
96,I'm A Fool,"Dino, Desi and Billy",1965,97
97,The Boy From New York City,Ad Libs,1965,98
98,Keep Searchin',Del Shannon,1965,99
99,How Sweet It Is (To Be Loved By You),Marvin Gaye,1965,100
0,The Ballad Of The Green Berets,Sgt. Barry Sadler,1966,1
1,Cherish,Association,1966,2
2,(You're My) Soul And Inspiration,Righteous Brothers,1966,3
3,Reach Out I'll Be There,Four Tops,1966,4
4,96 Tears,? and The Mysterians,1966,5
5,Last Train To Clarksville,Monkees,1966,6
6,"Monday, Monday",Mama's and The Papa's,1966,7
7,You Can't Hurry Love,Supremes,1966,8
8,Poor Side Of Town,Johnny Rivers,1966,9
9,California Dreamin',Mama's and The Papa's,1966,10
10,Summer In The City,Lovin' Spoonful,1966,11
11,Born Free,Roger Williams,1966,12
12,These Boots Are Made For Walkin',Nancy Sinatra,1966,13
13,What Becomes Of The Brokenhearted,Jimmy Ruffin,1966,14
14,Strangers In The Night,Frank Sinatra,1966,15
15,We Can Work It Out,Beatles,1966,16
16,Good Lovin',Young Rascals,1966,17
17,Winchester Cathedral,New Vaudeville Band,1966,18
18,Hanky Panky,Tommy James and The Shondells,1966,19
19,When A Man Loves A Woman,Percy Sledge,1966,20
20,Paint It Black,Rolling Stones,1966,21
21,My Love,Petula Clark,1966,22
22,Lightnin' Strikes,Lou Christie,1966,23
23,Wild Thing,Troggs,1966,24
24,Kicks,Paul Revere and The Raiders,1966,25
25,Sunshine Superman,Donovan,1966,26
26,Sunny,Bobby Hebb,1966,27
27,Paperback Writer,Beatles,1966,28
28,See You In September,Happenings,1966,29
29,You Keep Me Hangin' On,Supremes,1966,30
30,Lil' Red Riding Hood,Sam The Sham and The Pharaohs,1966,31
31,Devil With A Blue Dress On and Good Golly Miss Molly (Medley),Mitch Ryder and The Detroit Wheels,1966,32
32,Good Vibrations,Beach Boys,1966,33
33,A Groovy Kind Of Love,Mindbenders,1966,34
34,You Don't Have To Say You Love Me,Dusty Springfield,1966,35
35,Cool Jerk,Capitols,1966,36
36,Born A Woman,Sandy Posey,1966,37
37,Red Rubber Ball,Cyrkle,1966,38
38,B-A-B-Y,Carla Thomas,1966,39
39,Walk Away Renee,Left Banke,1966,40
40,Daydream,Lovin' Spoonful,1966,41
41,Time Won't Let Me,Outsiders,1966,42
42,Hooray For Hazel,Tommy Roe,1966,43
43,Sweet Pea,Tommy Roe,1966,44
44,Bus Stop,Hollies,1966,45
45,I'm Your Puppet,James and Bobby Purify,1966,46
46,I'm So Lonesome I Could Cry,B.J. Thomas and The Triumphs,1966,47
47,Ain't Too Proud To Beg,Temptations,1966,48
48,Dirty Water,Standells,1966,49
49,Elusive Butterfly,Bob Lind,1966,50
50,I Am A Rock,Simon and Garfunkel,1966,51
51,Crying Time,Ray Charles,1966,52
52,Secret Agent Man,Johnny Rivers,1966,53
53,The Sounds Of Silence,Simon and Garfunkel,1966,54
54,Lady Godiva,Peter and Gordon,1966,55
55,Homeward Bound,Simon and Garfunkel,1966,56
56,Did You Ever Have To Make Up Your Mind?,Lovin' Spoonful,1966,57
57,Barefootin',Robert Parker,1966,58
58,Uptight (Everything's Alright),Stevie Wonder,1966,59
59,Bang Bang,Cher,1966,60
60,Sloop John B,Beach Boys,1966,61
61,19th Nervous Breakdown,Rolling Stones,1966,62
62,Wipe Out,Surfaris,1966,63
63,Psychotic Reaction,Count Five,1966,64
64,Beauty Is Only Skin Deep,Temptations,1966,65
65,No Matter What Shape (Your Stomach Is In),T-Bones,1966,66
66,Just Like Me,Paul Revere and The Raiders,1966,67
67,Love Makes The World Go Round,Deon Jackson,1966,68
68,The Pied Piper,Crispian St. Peters,1966,69
69,Coming On Strong,Brenda Lee,1966,70
70,Somewhere My Love,Ray Conniff and The Singers,1966,71
71,Almost Persuaded,David Houston,1966,72
72,If I Were A Carpenter,Bobby Darin,1966,73
73,Don't Mess With Bill,Marvelettes,1966,74
74,"Cherry, Cherry",Neil Diamond,1966,75
75,Working In The Coal Mine,Lee Dorsey,1966,76
76,Message To Michael,Dionne Warwick,1966,77
77,Love Is A Hurtin' Thing,Lou Rawls,1966,78
78,Barbara Ann,Beach Boys,1966,79
79,Gloria,Shadows Of Knight,1966,80
80,My World Is Empty Without You,Supremes,1966,81
81,Rainy Day Women #12 And 35,Bob Dylan,1966,82
82,Guantanamera,Sandpipers,1966,83
83,"Land Of 1,000 Dances",Wilson Pickett,1966,84
84,Oh How Happy,Shades Of Blue,1966,85
85,Woman,Peter and Gordon,1966,86
86,You Baby,Turtles,1966,87
87,Five O'clock World,Vogues,1966,88
88,Black Is Black,Los Bravos,1966,89
89,Nowhere Man,Beatles,1966,90
90,Dandy,Herman's Hermits,1966,91
91,Baby Scratch My Back,Slim Harpo,1966,92
92,She's Just My Style,Gary Lewis and The Playboys,1966,93
93,The More I See You,Chris Montez,1966,94
94,I Fought The Law,Bobby Fuller Four,1966,95
95,Yellow Submarine,Beatles,1966,96
96,Hungry,Paul Revere and The Raiders,1966,97
97,Zorba The Greek,Herb Alpert and The Tijuana Brass,1966,98
98,Shapes Of Things,Yardbirds,1966,99
99,634-5789,Wilson Pickett,1966,100
0,To Sir With Love,Lulu,1967,1
1,The Letter,Box Tops,1967,2
2,Ode To Billie Joe,Bobby Gentry,1967,3
3,Windy,Association,1967,4
4,I'm A Believer,Monkees,1967,5
5,Light My Fire,Doors,1967,6
6,Somethin' Stupid,Nancy Sinatra and Frank Sinatra,1967,7
7,Happy Together,Turtles,1967,8
8,Groovin',Young Rascals,1967,9
9,Can't Take My Eyes Off You,Frankie Valli,1967,10
10,Little Bit O' Soul,Music Explosion,1967,11
11,I Think We're Alone Now,Tommy James and The Shondells,1967,12
12,Respect,Aretha Franklin,1967,13
13,I Was Made To Love Her,Stevie Wonder,1967,14
14,Come Back When You Grow Up,Bobby Vee and The Strangers,1967,15
15,Kind Of A Drag,Buckinghams,1967,16
16,Sweet Soul Music,Arthur Conley,1967,17
17,Expressway To Your Heart,Soul Survivors,1967,18
18,Soul Man,Sam and Dave,1967,19
19,Never My Love,Association,1967,20
20,"Apples, Peaches, Pumpkin Pie",Jay and The Techniques,1967,21
21,Come On Down To My Boat,Every Mothers' Son,1967,22
22,Incense And Peppermints,Strawberry Alarm Clock,1967,23
23,Ruby Tuesday,Rolling Stones,1967,24
24,It Must Be Him,Vicki Carr,1967,25
25,Gimme Little Sign,Brenton Wood,1967,26
26,For What It's Worth,Buffalo Springfield,1967,27
27,Love Is Here And Now You're Gone,Supremes,1967,28
28,The Happening,Supremes,1967,29
29,All You Need Is Love,Beatles,1967,30
30,Release Me (And Let Me Love Again),Engelbert Humperdinck,1967,31
31,Your Precious Love,Marvin Gaye and Tammi Terrell,1967,32
32,Somebody To Love,Jefferson Airplane,1967,33
33,Get On Up,Esquires,1967,34
34,Brown Eyed Girl,Van Morrison,1967,35
35,Jimmy Mack,Martha and The Vandella,1967,36
36,I Got Rhythm,Happenings,1967,37
37,A Whiter Shade Of Pale,Procol Harum,1967,38
38,Don't You Care,Buckinghams,1967,39
39,Then You Can Tell Me Goodbye,Casinos,1967,40
40,Reflections,Diana Ross and The Supremes,1967,41
41,On A Carousel,Hollies,1967,42
42,Please Love Me Forever,Bobby Vinton,1967,43
43,Alfie,Dionne Warwick,1967,44
44,Silence Is Golden,Tremeloes,1967,45
45,My Cup Runneth Over,Ed Ames,1967,46
46,"Up, Up And Away",Fifth Dimension,1967,47
47,San Francisco,Scott Mckenzie,1967,48
48,"The Rain, The Park And Other Things",Cowsills,1967,49
49,There's A Kind Of Hush,Herman's Hermits,1967,50
50,"Mercy, Mercy, Mercy",Buckinghams,1967,51
51,This Is My Song,Petula Clark,1967,52
52,(Your Love Keeps Lifting Me) Higher And Higher,Jackie Wilson,1967,53
53,I've Been Lonely Too Long,Young Rascals,1967,54
54,Penny Lane,Beatles,1967,55
55,You're My Everything,Temptations,1967,56
56,Georgy Girl,Seekers,1967,57
57,Western Union,Five Americans,1967,58
58,Baby I Love You,Aretha Franklin,1967,59
59,"A Little Bit You, A Little Bit Me",Monkees,1967,60
60,California Nights,Lesley Gore,1967,61
61,Dedicated To The One I Love,Mama's and The Papa's,1967,62
62,How Can I Be Sure,Young Rascals,1967,63
63,Carrie Ann,Hollies,1967,64
64,(We Ain't Got) Nothin' Yet,Blue Magoos,1967,65
65,Friday On My Mind,Easy Beats,1967,66
66,Soul Finger,Bar-Kays,1967,67
67,Gimme Some Lovin',Spencer Davis Group,1967,68
68,Let It Out (Let It All Hang Out),Hombres,1967,69
69,Let's Live For Today,Grass Roots,1967,70
70,Close Your Eyes,Peaches and Herb,1967,71
71,Groovin',Booker T and The MG's,1967,72
72,Funky Broadway,Wilson Pickett,1967,73
73,Pleasant Valley Sunday,Monkees,1967,74
74,I Never Loved A Man (The Way I Love You),Aretha Franklin,1967,75
75,Tell It Like It Is,Aaron Neville,1967,76
76,Cold Sweat,James Brown and The Famous Flames,1967,77
77,She'd Rather Be With Me,Turtles,1967,78
78,98.6,Keith,1967,79
79,Here We Go Again,Ray Charles,1967,80
80,White Rabbit,Jefferson Airplane,1967,81
81,Bernadette,Four Tops,1967,82
82,The Beat Goes On,Sonny and Cher,1967,83
83,Snoopy Vs. The Red Baron,Royal Guardsmen,1967,84
84,Society's Child,Janis Ian,1967,85
85,"Girl, You'll Be A Woman Soon",Neil Diamond,1967,86
86,Ain't No Mountain High Enough,Marvin Gaye and Tammi Terrell,1967,87
87,I Take It Back,Sandy Posey,1967,88
88,Here Comes My Baby,Tremeloes,1967,89
89,Everlasting Love,Robert Knight,1967,90
90,I Dig Rock And Roll Music,"Peter, Paul and Mary",1967,91
91,Little Ole Man (Uptight-Everything's Alright),Bill Cosby,1967,92
92,I Had Too Much To Dream Last Night,Electric Prunes,1967,93
93,Daydream Believer,Monkees,1967,94
94,Baby I Need Your Lovin',Johnny Rivers,1967,95
95,I Can See For Miles,Who,1967,96
96,Mirage,Tommy James and The Shondells,1967,97
97,"Green, Green Grass Of Home",Tom Jones,1967,98
98,Don't Sleep In The Subway,Petula Clark,1967,99
99,Thank The Lord For The Night Time,Neil Diamond,1967,100
0,Hey Jude,Beatles,1968,1
1,Love Is Blue,Paul Mauriat,1968,2
2,Honey,Bobby Goldsboro,1968,3
3,(Sittin' On) The Dock Of The Bay,Otis Redding,1968,4
4,People Got To Be Free,Rascals,1968,5
5,Sunshine Of Your Love,Cream,1968,6
6,This Guy's In Love With You,Herb Alpert,1968,7
7,"The Good, The Bad And The Ugly",Hugo Montenegro,1968,8
8,Mrs. Robinson,Simon and Garfunkel,1968,9
9,Tighten Up,Archie Bell and The Drells,1968,10
10,Harper Valley P.T.A.,Jeannie C. Riley,1968,11
11,Little Green Apples,O.C. Smith,1968,12
12,"Mony, Mony",Tommy James and The Shondells,1968,13
13,"Hello, I Love You",Doors,1968,14
14,Young Girl,Gary Puckett and The Union Gap,1968,15
15,Cry Like A Baby,Box Tops,1968,16
16,Stoned Soul Picnic,Fifth Dimension,1968,17
17,Grazing In The Grass,Hugh Masekela,1968,18
18,Midnight Confessions,Grass Roots,1968,19
19,Dance To The Music,Sly and The Family Stone,1968,20
20,The Horse,Cliff Nobles and Co.,1968,21
21,I Wish It Would Rain,Temptations,1968,22
22,La-La Means I Love You,Delfonics,1968,23
23,"Turn Around, Look At Me",Vogues,1968,24
24,Judy In Disguise (With Glasses),John Fred and His Playboy Band,1968,25
25,Spooky,Classics IV,1968,26
26,Love Child,Diana Ross and The Supremes,1968,27
27,Angel Of The Morning,Merrilee Rush,1968,28
28,The Ballad Of Bonnie And Clyde,Georgie Fame,1968,29
29,Those Were The Days,Mary Hopkin,1968,30
30,Born To Be Wild,Steppenwolf,1968,31
31,Cowboys To Girls,Intruders,1968,32
32,Simon Says,1910 Fruitgum Company,1968,33
33,Lady Willpower,Gary Puckett and The Union Gap,1968,34
34,A Beautiful Morning,Rascals,1968,35
35,The Look Of Love,Sergio Mendes and Brasil '66,1968,36
36,Hold Me Tight,Johnny Nash,1968,37
37,"Yummy, Yummy, Yummy",Ohio Express,1968,38
38,Fire,Crazy World Of Arthur Brown,1968,39
39,Love Is All Around,Troggs,1968,40
40,Playboy,Gene and Debbe,1968,41
41,(Theme From) Valley Of The Dolls,Dionne Warwick,1968,42
42,Classical Gas,Mason Williams,1968,43
43,Slip Away,Clarence Carter,1968,44
44,Girl Watcher,O'Kaysions,1968,45
45,(Sweet Sweet Baby) Since You've Been Gone,Aretha Franklin,1968,46
46,Green Tambourine,Lemon Pipers,1968,47
47,"1, 2, 3, Red Light",1910 Fruitgum Company,1968,48
48,Reach Out Of The Darkness,Friend and Lover,1968,49
49,Jumpin' Jack Flash,Rolling Stones,1968,50
50,MacArthur Park,Richard Harris,1968,51
51,Light My Fire,Jose Feliciano,1968,52
52,I Love You,People,1968,53
53,Take Time To Know Her,Percy Sledge,1968,54
54,Pictures Of Matchstick Men,Status Quo,1968,55
55,Summertime Blues,Blue Cheer,1968,56
56,Ain't Nothing Like The Real Thing,Marvin Gaye and Tammi Terrell,1968,57
57,I Got The Feelin',James Brown and The Famous Flames,1968,58
58,I've Gotta Get A Message To You,Bee Gees,1968,59
59,Lady Madonna,Beatles,1968,60
60,Hurdy Gurdy Man,Donovan,1968,61
61,Magic Carpet Ride,Steppenwolf,1968,62
62,Bottle Of Wine,Fireballs,1968,63
63,Stay In My Corner,Dells,1968,64
64,Soul Serenade,Willie Mitchell,1968,65
65,Delilah,Tom Jones,1968,66
66,Nobody But Me,Human Beinz,1968,67
67,I Thank You,Sam and Dave,1968,68
68,The Fool On The Hill,Sergio Mendes and Brasil '66,1968,69
69,Sky Pilot,Eric Burdon and The Animals,1968,70
70,Indian Lake,Cowsills,1968,71
71,I Wonder What She's Doing Tonight,Tommy Boyce and Bobby Hart,1968,72
72,Over You,Gary Puckett and The Union Gap,1968,73
73,Goin' Out Of My Head / Can't Take My Eyes Off You,Lettermen,1968,74
74,Shoo-Bee-Doo-Be-Doo-Da-Day,Stevie Wonder,1968,75
75,The Unicorn,Irish Rovers,1968,76
76,(You Keep Me) Hangin' On,Vanilla Fudge,1968,77
77,Revolution,Beatles,1968,78
78,"Woman, Woman",Gary Puckett and The Union Gap,1968,79
79,Elenore,Turtles,1968,80
80,White Room,Cream,1968,81
81,You're All I Need To Get By,Marvin Gaye and Tammi Terrell,1968,82
82,"Baby, Now That I've Found You",Foundations,1968,83
83,Sweet Inspiration,Sweet Inspirations,1968,84
84,If You Can Want,Smokey Robinson and The Miracles,1968,85
85,Cab Driver,Mills Brothers,1968,86
86,Time Has Come Today,Chambers Brothers,1968,87
87,Do You Know The Way To San Jose,Dionne Warwick,1968,88
88,Scarborough Fair / Canticle,Simon and Garfunkel,1968,89
89,Say It Loud I'm Black And I'm Proud,James Brown and The Famous Flames,1968,90
90,The Mighty Quinn,Manfred Mann,1968,91
91,Here Comes The Judge,Shorty Long,1968,92
92,I Say A Little Prayer,Aretha Franklin,1968,93
93,Think,Aretha Franklin,1968,94
94,Sealed With A Kiss,Gary Lewis and The Playboys,1968,95
95,Piece Of My Heart,Big Brother and The Holding Company,1968,96
96,Suzie Q.,Creedence Clearwater Revival,1968,97
97,Bend Me Shape Me,American Breed,1968,98
98,"Hey, Western Union Man",Jerry Butler,1968,99
99,Never Give You Up,Jerry Butler,1968,100
0,"Sugar, Sugar",Archies,1969,1
1,Aquarius / Let The Sunshine In,Fifth Dimension,1969,2
2,I Can't Get Next To You,Temptations,1969,3
3,Honky Tonk Women,Rolling Stones,1969,4
4,Everyday People,Sly and The Family Stone,1969,5
5,Dizzy,Tommy Roe,1969,6
6,Hot Fun In The Summertime,Sly and The Family Stone,1969,7
7,I'll Never Fall In Love Again,Tom Jones,1969,8
8,Build Me Up Buttercup,Foundations,1969,9
9,Crimson And Clover,Tommy James and The Shondells,1969,10
10,One,Three Dog Night,1969,11
11,Crystal Blue Persuasion,Tommy James and The Shondells,1969,12
12,Hair,Cowsills,1969,13
13,Too Busy Thinking About My Baby,Marvin Gaye,1969,14
14,Love Theme From Romeo And Juliet,Henry Mancini and His Orch.,1969,15
15,Get Together,Youngbloods,1969,16
16,Grazin' In The Grass,Friends Of Distinction,1969,17
17,Suspicious Minds,Elvis Presley,1969,18
18,Proud Mary,Creedence Clearwater Revival,1969,19
19,What Does It Take (To Win Your Love),Jr. Walker and The All Stars,1969,20
20,It's Your Thing,Isley Brothers,1969,21
21,Sweet Caroline,Neil Diamond,1969,22
22,Jean,Oliver,1969,23
23,Bad Moon Rising,Creedence Clearwater Revival,1969,24
24,Get Back,Beatles,1969,25
25,In The Year 2525,Zager and Evans,1969,26
26,Spinning Wheel,"Blood, Sweat and Tears",1969,27
27,"Baby, I Love You",Andy Kim,1969,28
28,Going In Circles,Friends Of Distinction,1969,29
29,Hurt So Bad,Lettermen,1969,30
30,Green River,Creedence Clearwater Revival,1969,31
31,My Cherie Amour,Stevie Wonder,1969,32
32,Easy To Be Hard,Three Dog Night,1969,33
33,Baby It's You,Smith,1969,34
34,In The Ghetto,Elvis Presley,1969,35
35,A Boy Named Sue,Johnny Cash,1969,36
36,"Baby, Baby Don't Cry",Smokey Robinson and The Miracles,1969,37
37,Only The Strong Survive,Jerry Butler,1969,38
38,Time Of The Season,Zombies,1969,39
39,Wedding Bell Blues,Fifth Dimension,1969,40
40,Little Woman,Bobby Sherman,1969,41
41,Love (Can Make You Happy),Mercy,1969,42
42,Good Morning Starshine,Oliver,1969,43
43,These Eyes,Guess Who,1969,44
44,You've Made Me So Very Happy,"Blood, Sweat and Tears",1969,45
45,Put A Little Love In Your Heart,Jackie DeShannon,1969,46
46,Do Your Thing,Watts 103rd Street Rhythm Band,1969,47
47,I'd Wait A Million Years,Grass Roots,1969,48
48,Touch Me,Doors,1969,49
49,More Today Than Yesterday,Spiral Starecase,1969,50
50,I've Gotta Be Me,Sammy Davis Jr.,1969,51
51,Lay Lady Lay,Bob Dylan,1969,52
52,Atlantis,Donovan,1969,53
53,Traces,Dennis Yost and The Classics IV,1969,54
54,It's Getting Better,Mama Cass Elliot,1969,55
55,This Magic Moment,Jay and The Americans,1969,56
56,"Run Away Child, Running Wild",Temptations,1969,57
57,Hawaii Five-O,Ventures,1969,58
58,Galveston,Glen Campbell,1969,59
59,I'm Gonna Make You Mine,Lou Christie,1969,60
60,Gitarzan,Ray Stevens,1969,61
61,Can I Change My Mind,Tyrone Davis,1969,62
62,Time Is Tight,Booker T and The MG's,1969,63
63,This Girl's In Love With You,Dionne Warwick,1969,64
64,Color Him Father,Winstons,1969,65
65,Black Pearl,"Sonny Charles and The Checkmates, Ltd.",1969,66
66,Indian Giver,1910 Fruitgum Company,1969,67
67,Mother Popcorn (Part I),James Brown,1969,68
68,Twenty-five Miles,Edwin Starr,1969,69
69,Things I'd Like To Say,New Colony Six,1969,70
70,When I Die,Motherlode,1969,71
71,That's The Way Love Is,Marvin Gaye,1969,72
72,Everybody's Talkin',Nilsson,1969,73
73,Worst That Could Happen,Brooklyn Bridge,1969,74
74,Chokin' Kind,Joe Simon,1969,75
75,Smile A Little Smile For Me,Flying Machine,1969,76
76,Polk Salad Annie,Tony Joe White,1969,77
77,"Ruby, Don't Take Your Love To Town",Kenny Rogers and The First Edition,1969,78
78,Games People Play,Joe South,1969,79
79,You Showed Me,Turtles,1969,80
80,Tracy,Cuff Links,1969,81
81,"Oh, What A Night",Dells,1969,82
82,Something,Beatles,1969,83
83,This Girl Is A Woman Now,Gary Puckett and The Union Gap,1969,84
84,Come Together,Beatles,1969,85
85,Ramblin' Gamblin' Man,Bob Seger System,1969,86
86,I'm Gonna Make You Love Me,Diana Ross and The Supremes and The Temptations,1969,87
87,I Heard It Through The Grapevine,Marvin Gaye,1969,88
88,Gimme Gimme Good Lovin',Crazy Elephant,1969,89
89,Hang 'Em High,Booker T and The MG's,1969,90
90,Your Good Thing (Is About To End),Lou Rawls,1969,91
91,Baby I'm For Real,Originals,1969,92
92,Oh Happy Day,Edwin Hawkins Singers,1969,93
93,Love Me Tonight,Tom Jones,1969,94
94,"Mr. Sun, Mr. Moon",Paul Revere and The Raiders,1969,95
95,Laughing,Guess Who,1969,96
96,My Whole World Ended (The Moment You Left Me),David Ruffin,1969,97
97,Soul Deep,Box Tops,1969,98
98,Hooked On A Feeling,B.J. Thomas,1969,99
99,Sweet Cream Ladies,Box Tops,1969,100
0,Bridge Over Troubled Water,Simon and Garfunkel,1970,1
1,(They Long To Be) Close To You,Carpenters,1970,2
2,American Woman / No Sugar Tonight,Guess Who,1970,3
3,Raindrops Keep Fallin' On My Head,B.J. Thomas,1970,4
4,War,Edwin Starr,1970,5
5,Ain't No Mountain High Enough,Diana Ross,1970,6
6,I'll Be There,Jackson 5,1970,7
7,Get Ready,Rare Earth,1970,8
8,Let It Be,Beatles,1970,9
9,Band Of Gold,Freda Payne,1970,10
10,Mama Told Me (Not To Come),Three Dog Night,1970,11
11,Everything Is Beautiful,Ray Stevens,1970,12
12,Make It With You,Bread,1970,13
13,Hitchin' A Ride,Vanity Fare,1970,14
14,ABC,Jackson 5,1970,15
15,The Love You Save,Jackson 5,1970,16
16,Cracklin' Rose,Neil Diamond,1970,17
17,Candida,Dawn,1970,18
18,Thank You (Fallettin Me Be Mice Elf Again),Sly and The Family Stone,1970,19
19,Spill The Wine,Eric Burdon and War,1970,20
20,O-o-h Child,Five Stairsteps,1970,21
21,Spirit In The Sky,Norman Greenbaum,1970,22
22,Lay Down (Candles In The Rain),Melanie and The Edwin Hawkins Singers,1970,23
23,Ball Of Confusion (That's What The World Is Today),Temptations,1970,24
24,Love On A Two Way Street,Moments,1970,25
25,I Want You Back,Jackson 5,1970,26
26,Which Way You Goin' Billy?,Poppy Family,1970,27
27,All Right Now,Free,1970,28
28,"Julie, Do Ya Love Me",Bobby Sherman,1970,29
29,Green-Eyed Lady,Sugarloaf,1970,30
30,"Signed Sealed, Delivered (I'm Yours)",Stevie Wonder,1970,31
31,Ride Captain Ride,Blues Image,1970,32
32,Venus,Shocking Blue,1970,33
33,Instant Karma (We All Shine On),John Lennon,1970,34
34,Patches,Clarence Carter,1970,35
35,Lookin' Out My Back Door / Long As I Can See The Light,Creedence Clearwater Revival,1970,36
36,Rainy Night In Georgia,Brook Benton,1970,37
37,Something's Burning,Kenny Rogers and The First Edition,1970,38
38,Give Me Just A Little More Time,Chairmen Of The Board,1970,39
39,Love Grows (Where My Rosemary Goes),Edison Lighthouse,1970,40
40,The Long And Winding Road / For You Blue,Beatles,1970,41
41,Snowbird,Anne Murray,1970,42
42,Reflections Of My Life,Marmalade,1970,43
43,Hey There Lonely Girl,Eddie Holman,1970,44
44,The Rapper,Jaggerz,1970,45
45,"He Ain't Heavy, He's My Brother",Hollies,1970,46
46,"Tighter, Tighter",Alive and Kicking,1970,47
47,Come And Get It,Badfinger,1970,48
48,Cecelia,Simon and Garfunkel,1970,49
49,Love Land,Charles Wright and The Watts 103rd Street Rhythm Band,1970,50
50,Turn Back The Hands Of Time,Tyrone Davis,1970,51
51,Lola,Kinks,1970,52
52,In The Summertime,Mungo Jerry,1970,53
53,Indiana Wants Me,R. Dean Taylor,1970,54
54,(I Know) I'm Losing You,Rare Earth,1970,55
55,"Easy Come, Easy Go",Bobby Sherman,1970,56
56,Express Yourself,Charles Wright and The Watts 103rd Street Rhythm Band,1970,57
57,Still Water,Four Tops,1970,58
58,Make Me Smile,Chicago,1970,59
59,House Of The Rising Sun,Frijid Pink,1970,60
60,25 Or 6 To 4,Chicago,1970,61
61,My Baby Loves Lovin',White Plains,1970,62
62,Love Or Let Me Be Lonely,Friends Of Distinction,1970,63
63,United We Stand,Brotherhood Of Man,1970,64
64,We've Only Just Begun,Carpenters,1970,65
